kafdnl1n7j	quién sabe	who knows	essential	topic:social-expression|expr:idiom	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
ugu6mryvd1	ya sé	I know	essential	topic:social-expression|expr:response	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
jyk96g78cb	no ser para tanto	not to be a big deal	essential	topic:social-expression|expr:idiom	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
o4nv333v8c	que yo sepa	as far as I know	essential	topic:social-expression|expr:idiom	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
r8h281yx98	a ver	let's see	essential	topic:social-expression|expr:idiom	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
oo26n3eya6	Hasta luego.	See you later.	essential	topic:social-expression|expr:farewell	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
9tdm1v0loz	como quieras	as you wish	essential	topic:social-expression|expr:response	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
2w91gd6yc7	cuando quieras	anytime	essential	topic:social-expression|expr:response	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
9rd5kxnrcp	ya verás	you will see	essential	topic:social-expression|expr:idiom	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
kxen1brnbt	vamos a ver	we will see	essential	topic:social-expression|expr:idiom	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
rh92u94gb4	¡Adelante!	Go ahead!	essential	topic:social-expression|expr:warning-command	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
f28jremh1h	¡Alto!	Stop!	essential	topic:social-expression|expr:warning-command	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
5az9lz5ib7	¡Adelante!	Come in!	essential	topic:social-expression|expr:warning-command	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
6827l0k1ob	desde luego	of course	essential	topic:social-expression|expr:response	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
3tecsp0owz	¡Fuera!	Get out!	essential	topic:social-expression|expr:warning-command	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
n79sjn044t	dar igual	not to matter	essential	topic:social-expression|expr:idiom	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
xxwtx8g012	me da igual	I don't mind	essential	topic:social-expression|expr:idiom	P3-7: everyday conversational expression stranded in rare with no Expressions-page tag; -> essential, homed on Expressions
