# spanish	english	exampleSpanish	exampleEnglish	role	collections
un	a	Un perro corre en el parque.	A dog runs in the park.	core	grammar:article|grammar:indefinite-article|grammar:masculine|grammar:singular|pos:function-word|topic:determiner|es:un|en:a
una	a	Una mujer espera afuera.	A woman waits outside.	core	grammar:article|grammar:indefinite-article|grammar:feminine|grammar:singular|pos:function-word|topic:determiner|es:un|en:a
unos	some	Compré unos libros ayer.	I bought some books yesterday.	supporting	grammar:article|grammar:indefinite-article|grammar:masculine|grammar:plural|pos:function-word|topic:determiner|es:un|en:some
unas	some	Tengo unas preguntas para ti.	I have some questions for you.	supporting	grammar:article|grammar:indefinite-article|grammar:feminine|grammar:plural|pos:function-word|topic:determiner|es:un|en:some
lo [adjetivo]	the [adjective] thing	Lo importante es la salud.	The important thing is health.	supporting	grammar:article|grammar:neuter-article|grammar:neuter|pos:function-word|topic:determiner|es:lo|en:the
al	to the	Vamos al parque.	We are going to the park.	supporting	grammar:contraction|grammar:article|grammar:definite-article|pos:function-word|topic:determiner|es:al|en:the
del	of the	El color del cielo cambia al atardecer.	The color of the sky changes at dusk.	supporting	grammar:contraction|grammar:article|grammar:definite-article|pos:function-word|topic:determiner|es:del|en:the
todo el [sustantivo]	the whole [noun]	Trabajé todo el día.	I worked the whole day.	supporting	grammar:quantifier|grammar:universal-quantifier|grammar:masculine|grammar:singular|pos:determiner|topic:determiner|es:todo|en:whole
toda la [sustantivo]	the whole [noun]	Llovió toda la noche.	It rained the whole night.	supporting	grammar:quantifier|grammar:universal-quantifier|grammar:feminine|grammar:singular|pos:determiner|topic:determiner|es:todo|en:whole
todos los [sustantivos]	all the [nouns]	Todos los niños juegan afuera.	All the children play outside.	core	grammar:quantifier|grammar:universal-quantifier|grammar:masculine|grammar:plural|pos:determiner|topic:determiner|es:todo|en:all
todas las [sustantivos]	all the [nouns]	Todas las tiendas están cerradas hoy.	All the stores are closed today.	core	grammar:quantifier|grammar:universal-quantifier|grammar:feminine|grammar:plural|pos:determiner|topic:determiner|es:todo|en:all
algún [sustantivo]	some [noun]	¿Tienes algún libro sobre historia?	Do you have some book about history?	supporting	grammar:quantifier|grammar:masculine|grammar:singular|pos:determiner|topic:determiner|es:alguno|en:some
alguna [sustantivo]	some [noun]	Necesito alguna solución pronto.	I need some solution soon.	supporting	grammar:quantifier|grammar:feminine|grammar:singular|pos:determiner|topic:determiner|es:alguno|en:some
algunos [sustantivos]	some [nouns]	Algunos días son más difíciles.	Some days are harder.	supporting	grammar:quantifier|grammar:masculine|grammar:plural|pos:determiner|topic:determiner|es:alguno|en:some
