0h2i95gmp3	pedir [algo] a [un negocio]	to order [something] from [a business]	reference	particle:from	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
qgnveu0pox	hablar con [alguien]	to talk with [somebody]	reference	particle:with	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
sopqak93z8	parecerse a [alguien]	to look like [somebody]	supporting	particle:like	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
kzc0zugsvr	llegar a [un lugar específico]	to arrive at [a specific place]	supporting	particle:at	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
3vjeid1zyd	llevar [algo] a [un lugar]	to take [something] to [a place]	supporting	particle:to	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
atwozfqm04	mandarle [algo] a [alguien]	to send [something] to [somebody]	supporting	particle:to	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
el9irxyl46	¿Qué piensas de [algo]?	What do you think of [something]?	supporting	particle:of	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
m5t33xosbe	quitar [algo] de [un lugar]	to remove [something] from [a place]	supporting	particle:from	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
ekxerzzusv	ser para [alguien]	to be for [somebody]	supporting	particle:for	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
o8yyqw9k2g	trabajar en [un lugar u organización]	to work at [a place or organization]	supporting	particle:at	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
kf0u7n45dt	hablar por [alguien]	to speak for [somebody]	reference	particle:for	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
53wi0qwjcm	darle ganas de [hacer algo] a [alguien]	to feel like [doing something]	reference	particle:like	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
27fbkeb2et	pedir perdón por [algo]	to ask for forgiveness for [something]	reference	particle:for	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
we8gzmevo2	prestar atención a [algo]	to pay attention to [something]	supporting	particle:to	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
1jdy99z2dz	tener ganas de [hacer algo]	to feel like [doing something]	supporting	particle:like	particle backfill — found during the Phase 3 completeness sweep of the phrasal/prepositional-verb union
