b1u0tt59t0	uno	one	core		real example	Dame uno, por favor.	Give me one, please.
sg0mhmy1g3	dos	two	core		real example	Tengo dos hermanos.	I have two brothers.
916fz6l1gh	tres	three	core		real example	El café cuesta tres dólares.	The coffee costs three dollars.
sj02ormmtw	cuatro	four	supporting		real example	La mesa tiene cuatro sillas.	The table has four chairs.
wt98samedo	cinco	five	supporting		real example	Llego en cinco minutos.	I arrive in five minutes.
oy8v5zvn8b	seis	six	supporting		real example	Trabajo seis días a la semana.	I work six days a week.
51gbegi9xv	siete	seven	supporting		real example	La semana tiene siete días.	A week has seven days.
qakubdvxn4	ocho	eight	supporting		real example	Duermo ocho horas cada noche.	I sleep eight hours every night.
8kk62n54ek	nueve	nine	supporting		real example	La tienda abre a las nueve.	The store opens at nine.
2rx2xhdh4h	diez	ten	supporting		real example	Hay diez personas en la sala.	There are ten people in the room.
jv6ldncrer	once	eleven	supporting		real example	El tren sale a las once.	The train leaves at eleven.
g04obyf6c6	doce	twelve	supporting		real example	El año tiene doce meses.	A year has twelve months.
2595sz61k6	trece	thirteen	supporting		real example	Mi hija cumple trece años.	My daughter turns thirteen.
zxxuc9rbeo	catorce	fourteen	supporting		real example	Caminamos catorce kilómetros.	We walked fourteen kilometers.
81mkho1vkn	quince	fifteen	supporting		real example	Espera quince minutos, por favor.	Wait fifteen minutes, please.
feji8uhi1z	dieciséis	sixteen	supporting		real example	Aquí se puede conducir a los dieciséis.	Here you can drive at sixteen.
262y5pq2yi	diecisiete	seventeen	supporting		real example	Me quedan diecisiete dólares.	I have seventeen dollars left.
051wgcuarr	dieciocho	eighteen	supporting		real example	A los dieciocho eres adulto.	At eighteen you are an adult.
renlsnx9th	diecinueve	nineteen	supporting		real example	Faltan diecinueve días.	Nineteen days are left.
vv3m29x1n3	veinte	twenty	supporting		real example	El boleto cuesta veinte pesos.	The ticket costs twenty pesos.
d3js97oguz	treinta	thirty	supporting		real example	El mes tiene treinta días.	The month has thirty days.
6i07a6cfgd	cuarenta	forty	supporting		real example	Corrí cuarenta minutos.	I ran forty minutes.
887il2wd8y	cincuenta	fifty	supporting		real example	En mi país hay cincuenta estados.	In my country there are fifty states.
ezhc4jm343	sesenta	sixty	supporting		real example	Una hora tiene sesenta minutos.	An hour has sixty minutes.
bhyg7mtanw	setenta	seventy	supporting		real example	Mi abuelo tiene setenta años.	My grandfather is seventy.
bdzltbyuwl	ochenta	eighty	supporting		real example	El libro tiene ochenta páginas.	The book has eighty pages.
pdr584zg3c	noventa	ninety	supporting		real example	La película dura noventa minutos.	The movie lasts ninety minutes.
03cqmjtz6k	cien	one hundred	supporting		real example	Hay cien personas aquí.	There are one hundred people here.
ctd9xdzidv	mil	one thousand	supporting		real example	El vuelo cuesta mil dólares.	The flight costs one thousand dollars.
