94xmzhpqs2	[el] hogar	home	reference		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Mi hogar está lejos de aquí.	My home is far from here.
3j18tf1yhr	a casa	home	reference		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Voy a casa después del trabajo.	I'm going home after work.
za4fiubic9	[el] hombre	man	supporting		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	El hombre trabaja en el banco.	The man works at the bank.
0ytjmo9vca	[el] niño	child	supporting		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	El niño juega en el parque.	The child is playing in the park.
ywmu9udgpo	este mes	this month	supporting		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Este mes he trabajado mucho.	This month I have worked a lot.
6uqtv5ndip	el próximo año	next year	supporting		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Voy a viajar el próximo año.	I am going to travel next year.
uqb2qipaq0	el mes pasado	last month	supporting		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Terminé el proyecto el mes pasado.	I finished the project last month.
43qxgonexo	[los] hombres	men	reference		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Los hombres esperan afuera.	The men are waiting outside.
lafn6elemf	[las] mujeres	women	reference		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Las mujeres organizaron el evento.	The women organized the event.
wwclre1oia	se fue la luz	the power went out	reference		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Se fue la luz durante la tormenta.	The power went out during the storm.
ikbozl8fdl	[ser] nuevo en [un lugar]	[to be] new to [a place]	reference		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Soy nuevo en esta ciudad.	I am new to this city.
hszvzaxmcv	la próxima semana	next week	supporting		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Lo terminaré la próxima semana.	I'll finish it next week.
ntzn66pmxo	la semana pasada	last week	supporting		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Lo terminé la semana pasada.	I finished it last week.
4240qxyqxs	cerca de un lugar	near a place	supporting		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Vivimos cerca de un lugar tranquilo.	We live near a quiet place.
0bxkcfqexz	cerca de un lugar	close to a place	reference		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	El hotel está cerca de un lugar histórico.	The hotel is close to a historic place.
tpnkufeuit	con gusto	you're welcome	supporting		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Con gusto te ayudo mañana.	You're welcome — I'll help you tomorrow.
7wxq9lkzoj	que aproveche	enjoy your meal	reference		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	¡Que aproveche!	Enjoy your meal!
evssaeefeq	levantar [algo]	to raise [something]	reference		Replace copy-pasted example sentence shared with unrelated sibling rows in the same small template group with a sentence that actually uses this word.	Levantó la caja sin ayuda.	He raised the box without help.
