upotfiz0jx	¿Cuánto queda?	How much is left?	supporting	audit:reviewed	Audit: fine as-is — already a self-contained question, no separate example needed.
c4sr1lkkhf	¿Qué te pasa?	What's wrong?	supporting	audit:reviewed	Audit: fine as-is — already a self-contained question, no separate example needed.
5az9lz5ib7	¡Adelante!	Come in!	reference	audit:reviewed	Audit: fine as-is — already a self-contained exclamation, no separate example needed.
rh92u94gb4	¡Adelante!	Go ahead!	reference	audit:reviewed	Audit: fine as-is — already a self-contained exclamation, no separate example needed.
oo26n3eya6	Hasta luego.	See you later.	reference	audit:reviewed	Audit: fine as-is — already a self-contained sentence, no separate example needed.
f28jremh1h	¡Alto!	Stop!	reference	audit:reviewed	Audit: fine as-is — already a self-contained exclamation, no separate example needed.
4abmpsiu46	la tarde	the afternoon	supporting	audit:reviewed	Audit: fixed placeholder example (it was just the headword repeated).	Trabajo toda la tarde.	I work all afternoon.
q6rtb3ph2x	acabar de hacer algo	to have just done something	reference	audit:reviewed	Audit: fixed placeholder example.	Acabo de terminar el informe.	I have just finished the report.
5c41gd4gqg	día	day	reference	audit:reviewed	Audit: fixed placeholder example.	Hoy es un buen día.	Today is a good day.
iina5o4u5x	cuán grande	how big	reference	audit:reviewed	Audit: fixed placeholder example.	No sabía cuán grande era el problema.	I didn't know how big the problem was.
xbk2rmvbe2	después de	after	reference	audit:reviewed	Audit: fixed placeholder example.	Salimos después de la reunión.	We left after the meeting.
4lsz5atrxx	si...o no	whether...or not	reference	audit:reviewed	Audit: fixed placeholder example.	No sé si viene o no.	I don't know whether she's coming or not.
59sy6jp2jo	muchas veces	many times	reference	audit:reviewed	Audit: fixed placeholder example.	Se lo he dicho muchas veces.	I've told him many times.
gejgahqn6v	para que	so that	reference	audit:reviewed	Audit: fixed placeholder example.	Te lo explico para que entiendas.	I'm explaining it to you so that you understand.
n47hpbwe7i	bien	all right	reference	audit:reviewed	Audit: fixed placeholder example.	Todo va a estar bien.	Everything is going to be all right.
ovnw5edm1p	con	with	reference	audit:reviewed	Audit: fixed placeholder example.	Voy con Ana.	I am going with Ana.
kxitvfhebx	si	whether	reference	audit:reviewed	Audit: fixed placeholder example.	No sé si es cierto.	I don't know whether it's true.
k2k4xsq191	la mañana	the morning	supporting	audit:reviewed	Audit: fixed placeholder example.	Trabajo toda la mañana.	I work all morning.
w6bnljz9zs	esta mañana	this morning	reference	audit:reviewed	Audit: fixed placeholder example.	Llegué esta mañana.	I arrived this morning.
wsttz3une0	a un lugar	to a place	reference	audit:reviewed	Audit: fixed placeholder example.	Vamos a un lugar tranquilo.	We're going to a quiet place.
rwj2zcgfcm	la noche	the night	supporting	audit:reviewed	Audit: fixed placeholder example.	Trabajo toda la noche.	I work all night.
yco8jcpeuc	entonces	so	reference	audit:reviewed	Audit: fixed placeholder example.	Entonces, ¿vienes o no?	So, are you coming or not?
aaz55zvczl	esta tarde	this afternoon	reference	audit:reviewed	Audit: fixed placeholder example.	Nos vemos esta tarde.	See you this afternoon.
gk4t4kddz0	hacia un lugar	toward a place	reference	audit:reviewed	Audit: fixed placeholder example.	Caminamos hacia un lugar seguro.	We walked toward a safe place.
