No como carne.	I don't eat meat.	No como carne los viernes.	I don't eat meat on Fridays.	supporting	pos:verb|topic:question-negation|qn:do-support-negation|construction:auxiliary-do|grammar:negative|grammar:contraction|es:comer|en:eat
Ella no come carne.	She doesn't eat meat.	Ella no come carne ni pescado.	She doesn't eat meat or fish.	supporting	pos:verb|topic:question-negation|qn:do-support-negation|construction:auxiliary-do|grammar:negative|grammar:contraction|es:comer|en:eat
No fui a la fiesta.	I didn't go to the party.	No fui a la fiesta anoche.	I didn't go to the party last night.	supporting	pos:verb|topic:question-negation|qn:do-support-negation|construction:auxiliary-do|grammar:negative|grammar:contraction|form:preterite|es:ir|en:go
Ella no es doctora.	She isn't a doctor.	Ella no es doctora, es enfermera.	She isn't a doctor, she's a nurse.	supporting	pos:verb|topic:question-negation|qn:modal-be-have-negation|grammar:negative|grammar:contraction|es:ser|en:isn't
Ellos no son de aquí.	They aren't from here.	Ellos no son de aquí, son de Chile.	They aren't from here, they're from Chile.	supporting	pos:verb|topic:question-negation|qn:modal-be-have-negation|grammar:negative|grammar:contraction|es:ser|en:aren't
No estaba listo.	I wasn't ready.	No estaba listo cuando llegaste.	I wasn't ready when you arrived.	supporting	pos:verb|topic:question-negation|qn:modal-be-have-negation|grammar:negative|grammar:contraction|es:estar|en:wasn't
No estaban en casa.	They weren't home.	No estaban en casa anoche.	They weren't home last night.	supporting	pos:verb|topic:question-negation|qn:modal-be-have-negation|grammar:negative|grammar:contraction|es:estar|en:weren't
Ella no ha llegado.	She hasn't arrived.	Ella no ha llegado todavía.	She hasn't arrived yet.	supporting	pos:verb|topic:question-negation|qn:modal-be-have-negation|grammar:negative|grammar:contraction|grammar:perfect|es:haber|en:hasn't
No había terminado cuando llegaron.	I hadn't finished when they arrived.	No había terminado la tarea cuando llegaron.	I hadn't finished the homework when they arrived.	supporting	pos:verb|topic:question-negation|qn:modal-be-have-negation|grammar:negative|grammar:contraction|grammar:perfect|es:haber|en:hadn't
¿Comes carne?	Do you eat meat?	¿Comes carne o eres vegetariano?	Do you eat meat, or are you vegetarian?	supporting	pos:verb|topic:question-negation|qn:do-support-question|construction:auxiliary-do|grammar:question|es:comer|en:eat
¿Ella come carne?	Does she eat meat?	¿Ella come carne o pescado?	Does she eat meat or fish?	supporting	pos:verb|topic:question-negation|qn:do-support-question|construction:auxiliary-do|grammar:question|es:comer|en:eat
¿Fueron a la fiesta?	Did they go to the party?	¿Fueron a la fiesta anoche?	Did they go to the party last night?	supporting	pos:verb|topic:question-negation|qn:do-support-question|construction:auxiliary-do|grammar:question|form:preterite|es:ir|en:go
¿Es ella doctora?	Is she a doctor?	¿Es ella doctora o enfermera?	Is she a doctor or a nurse?	supporting	pos:verb|topic:question-negation|qn:inversion-question|grammar:question|es:ser|en:is
¿Están listos?	Are they ready?	¿Están listos para salir?	Are they ready to leave?	supporting	pos:verb|topic:question-negation|qn:inversion-question|grammar:question|es:estar|en:are
¿No comes carne?	Don't you eat meat?	¿No comes carne los viernes?	Don't you eat meat on Fridays?	supporting	pos:verb|topic:question-negation|qn:negative-question|construction:auxiliary-do|grammar:question|grammar:negative|es:comer|en:eat
¿No lo sabe él?	Doesn't he know?	¿No lo sabe él todavía?	Doesn't he know yet?	supporting	pos:verb|topic:question-negation|qn:negative-question|construction:auxiliary-do|grammar:question|grammar:negative|es:saber|en:know
¿No fueron a la fiesta?	Didn't they go to the party?	¿No fueron a la fiesta anoche?	Didn't they go to the party last night?	supporting	pos:verb|topic:question-negation|qn:negative-question|construction:auxiliary-do|grammar:question|grammar:negative|form:preterite|es:ir|en:go
¿No es verdad?	Isn't it true?	¿No es verdad lo que dijo?	Isn't it true what he said?	supporting	pos:adjective|topic:question-negation|qn:negative-question|grammar:question|grammar:negative|es:ser|en:isn't
¿No estás listo?	Aren't you ready?	¿No estás listo todavía?	Aren't you ready yet?	supporting	pos:adjective|topic:question-negation|qn:negative-question|grammar:question|grammar:negative|es:estar|en:aren't
sí [alguien] [hace algo] (énfasis)	[somebody] does [do something]	Sí, ella sí lo sabe.	She does know it.	supporting	pos:verb|topic:question-negation|qn:emphatic|construction:auxiliary-do|grammar:emphatic-affirmative|sound:stressed-does|es:sí|en:does|topic:verb-pattern
