2w91gd6yc7	cuando quieras	anytime	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
2hxj5syqcm	tomar [tiempo]	to take [time]	supporting	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
xzcldfjhmu	darle tiempo a [alguien] para [hacer algo]	to give [somebody] time to [do something]	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
r97jh0nzir	poner una fecha para [algo]	to set a date for [something]	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
vh56in634m	hace [un período de tiempo]	[a period of time] ago	supporting	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
smz7y58q4p	hace [tiempo] que [ocurre algo]	[something] has been happening for [time]	supporting	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
r5ljpq5toy	¿cuánto hace que [ocurre algo]?	how long has [something] been happening?	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
hk3p7tmczh	hacerse tarde	to get late	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
d8gypldglm	llevar [tiempo] [haciendo algo]	to have been [doing something] for [time]	supporting	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
x765otzaij	llevar [tiempo] [en un estado]	to have been [in a state] for [time]	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
px5me164ly	¿cuánto llevas [haciendo algo]?	how long have you been [doing something]?	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
98imhq1xe7	[algo] lleva [tiempo]	[something] takes [time]	supporting	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
sjlvvxcwpy	[período] pasado	last [period]	supporting	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
fddpehe9zi	perder el tiempo	to waste time	supporting	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
v7qsq6oet3	alcanzar a [hacer algo]	to have time to [do something]	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
6vgdzpegua	ser [una hora o fecha]	to be [a time or date]	core	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
zeorvyamau	de ahora en adelante	from now on	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
8b641cek21	antes de	before	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
8a3s9ew4ih	[período] atrás	[a period] ago	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
p5528lcbf2	aún no	not yet	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
fnszz28inq	¿cuánto tiempo [ocurre algo]?	how long [has something been happening]?	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
eyue78cz5h	de vez en cuando	from time to time	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
20iwl9s0r5	dentro de [un tiempo]	in [an amount of time]	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
0rg57o7g76	desde [un momento]	starting [a time]	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
is83ex1r7e	pasado mañana	the day after tomorrow	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
70f495461k	anteayer	the day before yesterday	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
qeasfm79hz	ayer por la mañana	yesterday morning	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
gid93lnngw	mañana por la mañana	tomorrow morning	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
sk2u1fvotp	ayer por la tarde	yesterday afternoon	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
53m0zvo429	mañana por la tarde	tomorrow afternoon	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
yk8mablp0c	anoche	last night	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
v2bifwqn7l	esta noche	tonight	supporting	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
ze0uol6k43	mañana por la noche	tomorrow night	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
i7kngch29y	más pronto de lo esperado	earlier than expected	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
lcz2539dyj	de pronto	suddenly	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
erzbzs0gzc	¿a qué hora [ocurre algo]?	what time [does something happen]?	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
t114homehd	siempre que [ocurre algo]	whenever [something happens]	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
ub2iy1fuxk	mientras tanto	meanwhile	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
23jqqwk28f	tardar [tiempo] en [hacer algo]	to take [an amount of time] to [do something]	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
8rgf1v3z6t	ya	already	supporting	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
bluzvvve73	todavía no	not yet	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
2b50xdv2ra	todavía	still	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
1x5p74ftvn	durante [algo]	during [something]	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
lbk86bzf4t	por la noche	at night	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
je9l1zn0j2	a lo largo de [un período]	throughout [a period]	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
fv4tu6n5s9	más tarde	later	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
ucq0kj4623	[un período] después	[an amount of time] later	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
kuqwid4udw	posterior	later	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
jyt07gvckk	en aquel entonces	back then	reference	audit:reviewed	Audit: bulk mechanical pass — checked duplicate headwords (found only genuine polysemy, e.g. ya=already/before/now), missing examples, and headword/example mismatches; none found. Role tiers spot-checked for core/supporting and consistent with the rest of the DB. Role tier left unchanged.
