kfalstjcfy	postularse a [algo]	to apply for [something]	reference	audit:reviewed	Audit: fine as-is.
75py7jmtq1	bastar	to be enough	reference	audit:reviewed	Audit: fine as-is.
z5hsuuicna	leer [algo]	to read [something]	core	audit:reviewed	Audit: fine as-is.
fywyjd1hm5	sincerarse con [alguien]	to open up to [somebody]	reference	audit:reviewed	Audit: fine as-is.
zwz7spfbzg	cruzar [algo]	to cross [something]	reference	audit:reviewed	Audit: fine as-is.
bkizaixxrv	comparecer ante [una autoridad]	to appear before [an authority]	reference	audit:reviewed	Audit: fine as-is.
lp0ljdtgp7	aumentar	to build	reference	audit:reviewed	Audit: fine as-is.
1rwj0kt7f8	desarrollar [algo]	to build on [something]	reference	audit:reviewed	Audit: fine as-is.
jsfywmwb2q	preocuparse por [algo]	to care about [something]	reference	audit:reviewed	Audit: fine as-is.
a4g0kqya37	atrapar [algo]	to catch [something]	reference	audit:reviewed	Audit: fine as-is.
xwfttsrbm4	despejar [algo]	to clear [something]	reference	audit:reviewed	Audit: fine as-is.
j1hw054qpy	procesar [un pago]	to clear [a payment]	reference	audit:reviewed	Audit: fine as-is.
u9zbsje4u6	saldar [una deuda]	to pay off [a debt]	reference	audit:reviewed	Audit: fine as-is.
dxmrjpsxuk	haciendo	doing	core	audit:reviewed	Audit: fine as-is.
lxgkm4sg3u	hecho	done	core	audit:reviewed	Audit: fine as-is.
qg82ypat4e	tratar ==> trata	to try ==> tries	reference	audit:reviewed	Audit: fine as-is.
vhmwfhqxmx	ojalá tuviera [algo]	I wish I had [something]	supporting	audit:reviewed	Audit: fine as-is.
8oydioe8vl	ojalá hubiera [hecho algo]	I wish I had [done something]	reference	audit:reviewed	Audit: fine as-is.
2xqn998l77	ojalá [alguien] cambiara [una conducta]	I wish [somebody] would change [a behavior]	reference	audit:reviewed	Audit: fine as-is.
mfqqgurgok	apagarlo	to turn it off	supporting	audit:reviewed	Audit: fine as-is.
hux5cpb40q	recogerlo	to pick it up	supporting	audit:reviewed	Audit: fine as-is.
e4t2bqlckp	cuidarlo	to look after it	supporting	audit:reviewed	Audit: fine as-is.
sp3ppxsht4	chocar con [algo]	to run into [something]	reference	audit:reviewed	Audit: fine as-is.
