dmc4ep05eo	poner [algo] en [un lugar]	to put [something] in [a place]	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
zm3v8qtrgj	poner [algo] sobre [una superficie]	to put [something] on [a surface]	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
5bq8gctf3g	poner [algo] dentro de [un lugar]	to put [something] into [a place]	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
u8ocx1l1ad	poner [algo] debajo de [algo]	to put [something] under [something]	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
7462tgsu12	poner [algo] junto a [algo]	to put [something] next to [something]	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
3ysg9glgjj	poner [algo] [en algún lugar]	to place [something] [somewhere]	reference	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
4gnnj2lqzl	poner [música o un video]	to put on [music or a video]	reference	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
aq5xocbm7o	poner [música o un video]	to play [music or a video]	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
wsy0zl0ir1	ponerse [una prenda]	to put on [an item of clothing]	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
wpfrk73j3o	llevar puesto [una prenda]	to wear [an item of clothing]	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
a1p4uhtcxu	ponerse a [hacer algo]	to start [doing something]	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
fvn3ipywv9	ponerse de pie	to stand up	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
79080668rq	ponerse en contacto con [alguien]	to get in touch with [somebody]	reference	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
lz3nxrm63o	ponerse de acuerdo con [alguien]	to agree with [somebody]	supporting	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
lc4ekh76su	poner [algo] en riesgo	to put [something] at risk	reference	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
8tlst3bo6o	poner [algo] por escrito	to put [something] in writing	reference	audit:reviewed	Audit: fine as-is — thorough poner/put/set idiom network, duplicate-headword check found only legitimate synonym coverage, no placeholder examples.
