# Phase 1 root/etymology cognate families - 97 derivatives + 3 family anchors = 100 memberships.
# Every membership already existed as morphology:suffix-<englishRoot>; that tag is KEPT (JC #3).
# ORDER: run AFTER curation-2026-09-05-cognates-collections.tsv, so topic:cognate exists.
# concept-id	spanish	english	role	|-collections-to-add	reason
# --- cognate:tener-to-tain (8) - Latin tenere ~ English -tain
mvddgib5ti	abstenerse	to abstain	reference	cognate:tener-to-tain|cognate:latin-root|topic:cognate	root family: Latin tenere ~ English -tain; promoted from morphology:suffix-ain, where a root correspondence was recorded as an English suffix
nk60yb6f9o	contener	to contain	supporting	cognate:tener-to-tain|cognate:latin-root|topic:cognate	root family: Latin tenere ~ English -tain; promoted from morphology:suffix-ain, where a root correspondence was recorded as an English suffix
u1njnze2ss	detener	to detain	reference	cognate:tener-to-tain|cognate:latin-root|topic:cognate	root family: Latin tenere ~ English -tain; promoted from morphology:suffix-ain, where a root correspondence was recorded as an English suffix
dpp6pujrc4	entretener	to entertain	reference	cognate:tener-to-tain|cognate:latin-root|topic:cognate	root family: Latin tenere ~ English -tain; promoted from morphology:suffix-ain, where a root correspondence was recorded as an English suffix
jbffg23epm	mantener	to maintain	supporting	cognate:tener-to-tain|cognate:latin-root|topic:cognate	root family: Latin tenere ~ English -tain; promoted from morphology:suffix-ain, where a root correspondence was recorded as an English suffix
q6nk7om8xl	obtener	to obtain	supporting	cognate:tener-to-tain|cognate:latin-root|topic:cognate	root family: Latin tenere ~ English -tain; promoted from morphology:suffix-ain, where a root correspondence was recorded as an English suffix
mpxfwjh99r	retener	to retain	reference	cognate:tener-to-tain|cognate:latin-root|topic:cognate	root family: Latin tenere ~ English -tain; promoted from morphology:suffix-ain, where a root correspondence was recorded as an English suffix
nxk7dtjdpe	sostener	to sustain	reference	cognate:tener-to-tain|cognate:latin-root|topic:cognate	root family: Latin tenere ~ English -tain; promoted from morphology:suffix-ain, where a root correspondence was recorded as an English suffix
# --- cognate:poner-to-pose (9) - Latin ponere ~ English -pose
qta6ei3b67	componer	to compose	reference	cognate:poner-to-pose|cognate:latin-root|topic:cognate	root family: Latin ponere ~ English -pose; promoted from morphology:suffix-ose, where a root correspondence was recorded as an English suffix
3x6gdy36k9	deponer	to depose	reference	cognate:poner-to-pose|cognate:latin-root|topic:cognate	root family: Latin ponere ~ English -pose; promoted from morphology:suffix-ose, where a root correspondence was recorded as an English suffix
mt3fyxp4nv	exponer	to expose	reference	cognate:poner-to-pose|cognate:latin-root|topic:cognate	root family: Latin ponere ~ English -pose; promoted from morphology:suffix-ose, where a root correspondence was recorded as an English suffix
inf9g9dmd7	imponer	to impose	reference	cognate:poner-to-pose|cognate:latin-root|topic:cognate	root family: Latin ponere ~ English -pose; promoted from morphology:suffix-ose, where a root correspondence was recorded as an English suffix
cencbpbbei	interponer	to interpose	reference	cognate:poner-to-pose|cognate:latin-root|topic:cognate	root family: Latin ponere ~ English -pose; promoted from morphology:suffix-ose, where a root correspondence was recorded as an English suffix
g05qdfu47y	oponerse	to oppose	reference	cognate:poner-to-pose|cognate:latin-root|topic:cognate	root family: Latin ponere ~ English -pose; promoted from morphology:suffix-ose, where a root correspondence was recorded as an English suffix
fktf9mepcn	predisponer	to predispose	reference	cognate:poner-to-pose|cognate:latin-root|topic:cognate	root family: Latin ponere ~ English -pose; promoted from morphology:suffix-ose, where a root correspondence was recorded as an English suffix
4fc2kcqip3	proponer	to propose	reference	cognate:poner-to-pose|cognate:latin-root|topic:cognate	root family: Latin ponere ~ English -pose; promoted from morphology:suffix-ose, where a root correspondence was recorded as an English suffix
x2avxaorkd	suponer	to suppose	supporting	cognate:poner-to-pose|cognate:latin-root|topic:cognate	root family: Latin ponere ~ English -pose; promoted from morphology:suffix-ose, where a root correspondence was recorded as an English suffix
# --- cognate:mitir-to-mit (8) - Latin mittere ~ English -mit
huqj9mq0gj	admitir	to admit	supporting	cognate:mitir-to-mit|cognate:latin-root|topic:cognate	root family: Latin mittere ~ English -mit; promoted from morphology:suffix-mit, where a root correspondence was recorded as an English suffix
se694g3es1	cometer	to commit	reference	cognate:mitir-to-mit|cognate:latin-root|topic:cognate	root family: Latin mittere ~ English -mit; promoted from morphology:suffix-mit, where a root correspondence was recorded as an English suffix
bm5xv1t2ju	emitir	to emit	reference	cognate:mitir-to-mit|cognate:latin-root|topic:cognate	root family: Latin mittere ~ English -mit; promoted from morphology:suffix-mit, where a root correspondence was recorded as an English suffix
9y3wackzb5	omitir	to omit	reference	cognate:mitir-to-mit|cognate:latin-root|topic:cognate	root family: Latin mittere ~ English -mit; promoted from morphology:suffix-mit, where a root correspondence was recorded as an English suffix
4b6y1dtam9	permitir	to permit	supporting	cognate:mitir-to-mit|cognate:latin-root|topic:cognate	root family: Latin mittere ~ English -mit; promoted from morphology:suffix-mit, where a root correspondence was recorded as an English suffix
7193nsmx07	remitir	to remit	reference	cognate:mitir-to-mit|cognate:latin-root|topic:cognate	root family: Latin mittere ~ English -mit; promoted from morphology:suffix-mit, where a root correspondence was recorded as an English suffix
15acw0vdrq	someterse	to submit	reference	cognate:mitir-to-mit|cognate:latin-root|topic:cognate	root family: Latin mittere ~ English -mit; promoted from morphology:suffix-mit, where a root correspondence was recorded as an English suffix
cl6jhf2u3u	transmitir	to transmit	reference	cognate:mitir-to-mit|cognate:latin-root|topic:cognate	root family: Latin mittere ~ English -mit; promoted from morphology:suffix-mit, where a root correspondence was recorded as an English suffix
# --- cognate:ferir-to-fer (8) - Latin ferre ~ English -fer
psjycfzsmh	conferir	to confer	reference	cognate:ferir-to-fer|cognate:latin-root|topic:cognate	root family: Latin ferre ~ English -fer; promoted from morphology:suffix-fer, where a root correspondence was recorded as an English suffix
ll708ai2nl	diferir	to differ	reference	cognate:ferir-to-fer|cognate:latin-root|topic:cognate	root family: Latin ferre ~ English -fer; promoted from morphology:suffix-fer, where a root correspondence was recorded as an English suffix
ktufkog3lp	inferir	to infer	reference	cognate:ferir-to-fer|cognate:latin-root|topic:cognate	root family: Latin ferre ~ English -fer; promoted from morphology:suffix-fer, where a root correspondence was recorded as an English suffix
p1p6rjy1g1	ofrecer	to offer	supporting	cognate:ferir-to-fer|cognate:latin-root|topic:cognate	root family: Latin ferre ~ English -fer; promoted from morphology:suffix-fer, where a root correspondence was recorded as an English suffix
znnmxrglvi	preferir	to prefer	supporting	cognate:ferir-to-fer|cognate:latin-root|topic:cognate	root family: Latin ferre ~ English -fer; promoted from morphology:suffix-fer, where a root correspondence was recorded as an English suffix
hpqr1ns3w1	referirse a	to refer to	supporting	cognate:ferir-to-fer|cognate:latin-root|topic:cognate	root family: Latin ferre ~ English -fer; promoted from morphology:suffix-fer, where a root correspondence was recorded as an English suffix
dpcbf2wx7l	sufrir	to suffer	supporting	cognate:ferir-to-fer|cognate:latin-root|topic:cognate	root family: Latin ferre ~ English -fer; promoted from morphology:suffix-fer, where a root correspondence was recorded as an English suffix
lp8l4wpj4p	transferir	to transfer	reference	cognate:ferir-to-fer|cognate:latin-root|topic:cognate	root family: Latin ferre ~ English -fer; promoted from morphology:suffix-fer, where a root correspondence was recorded as an English suffix
# --- cognate:ducir-to-duce (7) - Latin ducere ~ English -duce / -duct
4w4rj5i3g0	deducir	to deduce	reference	cognate:ducir-to-duce|cognate:latin-root|topic:cognate	root family: Latin ducere ~ English -duce / -duct; promoted from morphology:suffix-uce, where a root correspondence was recorded as an English suffix
ljjs4igbh8	inducir	to induce	reference	cognate:ducir-to-duce|cognate:latin-root|topic:cognate	root family: Latin ducere ~ English -duce / -duct; promoted from morphology:suffix-uce, where a root correspondence was recorded as an English suffix
t8xl5ujrhi	introducir	to introduce	supporting	cognate:ducir-to-duce|cognate:latin-root|topic:cognate|cognate:false-friend	root family: Latin ducere ~ English -duce / -duct; promoted from morphology:suffix-uce, where a root correspondence was recorded as an English suffix | ALSO a false friend: Spanish introducir normally means to insert; 'to introduce' is the trap sense. Sense split deferred per JC #7 (folded in here so this id appears in exactly one concepts-apply manifest)
iwrrtg66rv	producir	to produce	supporting	cognate:ducir-to-duce|cognate:latin-root|topic:cognate	root family: Latin ducere ~ English -duce / -duct; promoted from morphology:suffix-uce, where a root correspondence was recorded as an English suffix
4e8xlbp20p	reducir	to reduce	supporting	cognate:ducir-to-duce|cognate:latin-root|topic:cognate	root family: Latin ducere ~ English -duce / -duct; promoted from morphology:suffix-uce, where a root correspondence was recorded as an English suffix
czdf4gnfnp	reproducir	to reproduce	reference	cognate:ducir-to-duce|cognate:latin-root|topic:cognate	root family: Latin ducere ~ English -duce / -duct; promoted from morphology:suffix-uce, where a root correspondence was recorded as an English suffix
