tpnkufeuit	con gusto	you're welcome	supporting	expr:politeness	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
0wx9x5ccnb	por favor	please	supporting	expr:politeness	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
hwdyiqf0pm	de nada	you're welcome	supporting	expr:politeness	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
tbbig44xx6	gracias	thank you	supporting	expr:politeness	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
gbgjnn5rhj	gracias	thanks	supporting	expr:politeness	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
hb47hyqftz	gracias por [hacer algo]	thank you for [doing something]	supporting	expr:politeness	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
b1nubjxiqh	no hay problema	no problem	supporting	expr:politeness	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
b4j9ji5u4s	¿Cómo se dice [algo] en inglés?	How do you say [something] in English?	supporting	expr:greeting	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
m83xfkgld1	¿Qué hay de nuevo?	What is new?	reference	expr:greeting	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
3u7b3fgws0	mucho gusto	nice to meet you	supporting	expr:greeting	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
ifurkwv06w	me llamo [nombre]	my name is [name]	supporting	expr:greeting	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
kfx1lzc2a8	bienvenido	welcome	supporting	expr:greeting	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
421wv4rocg	lo siento	I'm sorry	supporting	expr:apology	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
p81hj5z5ld	perdón	excuse me	supporting	expr:apology	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
0u1ebaante	perdón	I'm sorry	supporting	expr:apology	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
4blzjcf3qz	disculpe	excuse me	supporting	expr:apology	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
ah2eaia09w	vale	okay	reference	expr:response	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
86ogukorla	igual	maybe (coloquial)	reference	expr:response	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
vk5arw3nk6	sí	yes	reference	expr:response	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
gotkvix6h4	genial	great	reference	expr:response	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
yy9028sj68	sin falta	without fail	reference	expr:idiom	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
95502xpq2y	cueste lo que cueste	whatever it takes	reference	expr:idiom	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
a6vkntbt36	entre todos	together, all together	reference	expr:idiom	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
84ep3pyukv	el mismo día	the same day	reference	expr:idiom	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
97h5zo76ab	más vale tarde que nunca	better late than never	reference	expr:idiom	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
lo8hzzt4fm	¡Ya basta!	Enough already!	reference	expr:idiom	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
56dupg98qa	¡abajo [algo]!	down with [something]!	reference	expr:idiom	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
cncdjpkngf	me extraña que [ocurra algo]	I find it strange that [something happens]	reference	expr:idiom	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
khu76rod2i	lo peor es [hacer algo]	the worst part is [doing something]	reference	expr:idiom	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
rrxe7cd85d	cállate	be quiet	reference	expr:warning-command	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
r4wshfw0zl	cállate	shut up	reference	expr:warning-command	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
18bu6m7ec4	cuidado con [algo]	be careful with [something]	supporting	expr:warning-command	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
7wxq9lkzoj	que aproveche	enjoy your meal	reference	expr:farewell	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
onjiqwdl11	cuídate	take care	supporting	expr:farewell	Expressions page had zero facet buttons; categorizing all 34 rows by communicative function.		
