# Questions & Negation frames folded into their infinitive rows (owner decision 2026-09-16; regenerated against the live DB).
# id	role	reason
43z1s233ya	Trash	question/negation frame «¿Puedes [hacer algo]? (capacidad) → Can you [do something]?» folded into «poder [hacer algo] (permiso) → can [do something]» (nk4hb2zaok); question and negation are lesson rules (owner 2026-09-16)
7hwvhzgxxt	Trash	question/negation frame «¿Puedes [hacer algo]? (petición) → Can you [do something]?» folded into «poder [hacer algo] (permiso) → can [do something]» (nk4hb2zaok); question and negation are lesson rules (owner 2026-09-16)
r30tfgius4	Trash	question/negation frame «¿puedes [hacer algo]? → can you [do something]?» folded into «poder [hacer algo] (permiso) → can [do something]» (nk4hb2zaok); question and negation are lesson rules (owner 2026-09-16)
jdd2lebx6x	Trash	question/negation frame «¿Puedo [hacer algo]? → Can I [do something]?» folded into «poder [hacer algo] (permiso) → can [do something]» (nk4hb2zaok); question and negation are lesson rules (owner 2026-09-16)
wbadwkrywg	Trash	question/negation frame «¿No puedes [hacer algo]? (capacidad) → Can't you [do something]?» folded into «no poder [hacer algo] → can't [do something]» (jwk81y46bp); question and negation are lesson rules (owner 2026-09-16)
v2jinicnwh	Trash	question/negation frame «no pudo [hacer algo] (intento fallido) → couldn't [do something]» folded into «no poder [hacer algo] → can't [do something]» (jwk81y46bp); question and negation are lesson rules (owner 2026-09-16)
84arllzyhs	Trash	question/negation frame «no podría [hacer algo] → couldn't [do something]» folded into «no poder [hacer algo] → can't [do something]» (jwk81y46bp); question and negation are lesson rules (owner 2026-09-16)
yhchadk82l	Trash	question/negation frame «no he podido [hacer algo] → haven't been able to [do something]» folded into «poder [hacer algo] → to be able [to do something]» (mxguwwzrxk); question and negation are lesson rules (owner 2026-09-16)
g06ovsd470	Trash	question/negation frame «¿Puedo [hacer algo]? (formal) → May I [do something]?» folded into «poder [hacer algo] (permiso formal) → may [do something]» (mjncmw1m8b); question and negation are lesson rules (owner 2026-09-16)
oy4fp397cg	Trash	question/negation frame «¿Podría [hacer algo]? → Could I [do something]?» folded into «poder [hacer algo] (condicional) → could [do something]» (ipa706hrsh); question and negation are lesson rules (owner 2026-09-16)
zgny1ugayh	Trash	question/negation frame «¿Podrías [hacer algo]? → Could you [do something]?» folded into «poder [hacer algo] (condicional) → could [do something]» (ipa706hrsh); question and negation are lesson rules (owner 2026-09-16)
v7y40xtgb3	Trash	question/negation frame «¿has [hecho algo]? → have you [done something]?» folded into «haber [hecho algo] → to have [done something]» (rvo8g5gv94); question and negation are lesson rules (owner 2026-09-16)
4sabms9mlz	Trash	question/negation frame «¿nunca has [hecho algo]? → haven't you ever [done something]?» folded into «haber [hecho algo] → to have [done something]» (rvo8g5gv94); question and negation are lesson rules (owner 2026-09-16)
9hj8rdegpe	Trash	question/negation frame «No había terminado cuando llegaron. → I hadn't finished when they arrived.» folded into «haber [hecho algo] → to have [done something]» (rvo8g5gv94); question and negation are lesson rules (owner 2026-09-16)
4lvhwvih13	Trash	question/negation frame «¿te gustaría [algo]? → would you care for [something]?» folded into «gustaría [algo] → would like [something]» (fr2zv8cgr5); question and negation are lesson rules (owner 2026-09-16)
8aej7jfu2y	Trash	question/negation frame «¿tienes que [hacer algo]? → do you have to [do something]?» folded into «tener que [hacer algo] → to have to [do something]» (7s7vnrgxud); question and negation are lesson rules (owner 2026-09-16)
rnbqgo3fk9	Trash	question/negation frame «¿[estás haciendo algo]? → are you [doing something]?» folded into «estar [haciendo algo] → to be [doing something]» (f2zryn85p8); question and negation are lesson rules (owner 2026-09-16)
