# Double object pronouns (owner gap, 2026-09-16): indirect + direct object clitic cluster, Level 1.
# spanish	english	exSpanish	exEnglish	role	collections
me lo	it to me	Me lo vas a enviar.	You're going to send it to me.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:singular|es:lo|en:it|es:me|en:me
te lo	it to you	Te lo voy a enviar.	I'm going to send it to you.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:singular|es:lo|en:it|es:te|en:you|register:informal
se lo	it to him	Se lo voy a dar a él.	I'm going to give it to him.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:singular|es:lo|en:it|grammar:se|sound:replacement-for-le-les|en:him
se lo	it to her	Se lo voy a dar a ella.	I'm going to give it to her.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:singular|es:lo|en:it|grammar:se|sound:replacement-for-le-les|en:her
se lo	it to them	Se lo voy a enviar a ellos.	I'm going to send it to them.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:singular|es:lo|en:it|grammar:se|sound:replacement-for-le-les|en:them
nos lo	it to us	Nos lo vas a explicar.	You're going to explain it to us.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:singular|es:lo|en:it|es:nos|en:us
# Plural-object rows (owner addition 2026-09-16): masculine and feminine are separate rows because the pronoun audit rejects "/" in Spanish.
me los	them to me	Me los vas a enviar.	You're going to send them to me.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:los|es:me|en:me
te los	them to you	Te los voy a enviar.	I'm going to send them to you.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:los|es:te|en:you|register:informal
se los	them to him	Se los voy a dar a él.	I'm going to give them to him.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:los|grammar:se|sound:replacement-for-le-les|en:him
se los	them to her	Se los voy a dar a ella.	I'm going to give them to her.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:los|grammar:se|sound:replacement-for-le-les|en:her
se los	them to them	Se los voy a enviar a ellos.	I'm going to send them to them.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:los|grammar:se|sound:replacement-for-le-les
nos los	them to us	Nos los vas a explicar.	You're going to explain them to us.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:los|es:nos|en:us
me las	them to me	Me las vas a enviar.	You're going to send them to me.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:las|es:me|en:me
te las	them to you	Te las voy a enviar.	I'm going to send them to you.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:las|es:te|en:you|register:informal
se las	them to him	Se las voy a dar a él.	I'm going to give them to him.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:las|grammar:se|sound:replacement-for-le-les|en:him
se las	them to her	Se las voy a dar a ella.	I'm going to give them to her.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:las|grammar:se|sound:replacement-for-le-les|en:her
se las	them to them	Se las voy a enviar a ellos.	I'm going to send them to them.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:las|grammar:se|sound:replacement-for-le-les
nos las	them to us	Nos las vas a explicar.	You're going to explain them to us.	P1	pos:pronoun|topic:pronoun|grammar:object-pronoun|grammar:indirect-object-pronoun|grammar:direct-object-pronoun|grammar:plural|en:them|es:las|es:nos|en:us
